"","subject","Early","Ontime","Late","ShortDelay","LongDelay","Comparison_onsets","Delay_length","PSE"
"1","s03",726.0195522,586.3135541,488.5709072,634.4637784,566.1388973,"Early","Shortdelay",808.6232948
"2","s04",614.8194897,609.0143341,612.9122354,610.6894879,613.8078849,"Early","Shortdelay",620.2183323
"3","s06",636.4195229,598.6994006,598.6469079,608.4595887,614.0509655,"Early","Shortdelay",658.2799042
"4","s07",608.3454036,599.5442597,599.6927804,612.0136569,593.0413056,"Early","Shortdelay",623.1773993
"5","s08",635.1726016,598.2457685,587.5706164,615.4556332,598.5370244,"Early","Shortdelay",669.2808642
"6","s10",669.7270664,607.1666261,601.1120961,646.048074,605.955785,"Early","Shortdelay",725.3363905
"7","s12",624.0090297,610.703615,619.4981752,617.3310638,618.8094827,"Early","Shortdelay",632.2828284
"8","s13",634.9084346,599.6647423,586.447923,610.6285658,603.3855007,"Early","Shortdelay",668.2039501
"9","s14",605.8422128,606.0184216,594.4079848,609.0695008,595.1095787,"Early","Shortdelay",611.9061017
"10","s15",627.9650952,607.415839,592.9649895,610.8319264,608.0653561,"Early","Shortdelay",640.5473869
"11","s16",598.3260106,597.3295351,597.1760989,602.2205861,593.0005102,"Early","Shortdelay",602.4274519
"12","s17",599.6118641,585.0249412,583.3053028,583.6406215,594.9874504,"Early","Shortdelay",603.3698914
"13","s18",624.3238894,576.6672627,588.5542553,612.8864514,580.1438201,"Early","Shortdelay",658.3333333
"14","s19",614.8591161,594.414469,598.1702808,603.1259931,601.8365841,"Early","Shortdelay",629.2365483
"15","s21",603.0064228,596.3543368,598.5640146,595.9813566,602.6351595,"Early","Shortdelay",603.5609454
"16","s22",613.1263837,597.0841033,598.9658045,604.2568946,601.8606331,"Early","Shortdelay",616.0715508
"17","s23",609.498973,587.8235842,594.0441577,604.7893864,589.4550902,"Early","Shortdelay",642.3500262
"18","s25",657.3808077,613.8153789,612.9346391,645.1328973,610.9543198,"Early","Shortdelay",698.6032138
"19","s26",614.5345949,599.4998695,598.3687336,604.8622696,603.406529,"Early","Shortdelay",618.179488
"20","s27",612.3135398,604.223877,588.9469839,605.4341659,598.2221013,"Early","Shortdelay",622.3972005
"21","s28",592.2462211,586.4695817,582.9218437,590.6399494,583.7851483,"Early","Shortdelay",612.4082485
"22","s29",609.1270033,600.6160393,598.0813392,602.5957647,602.6204898,"Early","Shortdelay",613.1058332
"23","s30",603.4840123,594.9175677,592.8117337,598.7213608,595.4208482,"Early","Shortdelay",610.798127
"24","s31",611.795005,600.4672233,598.131451,607.4057606,599.5233588,"Early","Shortdelay",618.9563475
"25","s32",614.0310874,607.4956939,601.86755,607.0914312,608.5047896,"Early","Shortdelay",617.4225721
"26","s34",611.0214827,607.3665226,607.7832697,617.8705463,599.5769703,"Early","Shortdelay",619.3187207
"27","s36",611.8909568,600.5960024,599.8248429,603.1776505,605.0302175,"Early","Shortdelay",615.5505414
"28","s37",599.2706559,597.8710928,600.7309091,601.6965634,596.8852084,"Early","Shortdelay",605.2409203
"29","s39",606.306412,587.211265,595.7203,598.2260302,594.5992877,"Early","Shortdelay",603.2853888
"30","s40",613.9031198,592.882339,586.3418688,591.2523043,604.165914,"Early","Shortdelay",623.0496525
"31","s41",622.8376902,604.6814653,597.7697426,608.3369635,608.5223019,"Early","Shortdelay",637.0826477
"32","s47",592.9647046,597.2240891,595.8333961,594.4158018,596.2656579,"Early","Shortdelay",596.9785334
"33","s48",672.736284,611.8022475,620.4548022,650.6105403,619.3850155,"Early","Shortdelay",739.4608436
"34","s49",641.6865647,601.1734506,595.7961816,614.4994296,611.2713683,"Early","Shortdelay",670.5988742
"35","s50",643.9700036,628.916054,602.7149687,631.9875245,618.4131597,"Early","Shortdelay",664.0119261
"36","s51",604.8797088,600.8950367,591.024398,599.5603937,598.305702,"Early","Shortdelay",609.7594176
"37","s52",625.2802226,596.2766866,596.7589907,604.4853899,607.72521,"Early","Shortdelay",632.3211943
"38","s53",618.2051485,611.2701479,619.8086946,614.5218928,618.3341011,"Early","Shortdelay",625.2548456
"39","s54",624.3832767,604.6252917,599.4895829,610.8502894,608.148478,"Early","Shortdelay",640.4333454
"40","s55",610.6586387,598.5707915,594.5074378,597.975495,604.5157503,"Early","Shortdelay",615.7352309
"41","s56",667.843853,628.6609983,640.3428979,641.1628646,650.0689681,"Early","Shortdelay",639.7412029
"42","s57",631.8606054,614.653906,609.8504996,621.845654,615.73102,"Early","Shortdelay",647.4172015
"43","s58",598.8668281,597.2022159,581.5236747,586.2581248,598.8036877,"Early","Shortdelay",602.2263498
"44","s59",616.3798771,587.7394278,589.199058,600.550318,594.9952571,"Early","Shortdelay",635.2116542
"45","s60",604.1475463,596.8313598,596.9400229,600.8160665,597.7965528,"Early","Shortdelay",613.4846329
"46","s61",617.7683317,612.9429713,606.3948149,613.3541806,611.3832313,"Early","Shortdelay",621.3553667
"47","s62",607.5822853,601.3896817,600.2183944,603.958886,602.1680216,"Early","Shortdelay",610.5323816
"48","s63",634.2701698,575.8879815,595.9604725,595.7110786,608.3680039,"Early","Shortdelay",634.6105437
"49","s03",726.0195522,586.3135541,488.5709072,634.4637784,566.1388973,"Ontime","Shortdelay",600.9595592
"50","s04",614.8194897,609.0143341,612.9122354,610.6894879,613.8078849,"Ontime","Shortdelay",610.115111
"51","s06",636.4195229,598.6994006,598.6469079,608.4595887,614.0509655,"Ontime","Shortdelay",584.4358382
"52","s07",608.3454036,599.5442597,599.6927804,612.0136569,593.0413056,"Ontime","Shortdelay",605.1448026
"53","s08",635.1726016,598.2457685,587.5706164,615.4556332,598.5370244,"Ontime","Shortdelay",593.7134305
"54","s10",669.7270664,607.1666261,601.1120961,646.048074,605.955785,"Ontime","Shortdelay",611.2285081
"55","s12",624.0090297,610.703615,619.4981752,617.3310638,618.8094827,"Ontime","Shortdelay",605.3590938
"56","s13",634.9084346,599.6647423,586.447923,610.6285658,603.3855007,"Ontime","Shortdelay",596.6917869
"57","s14",605.8422128,606.0184216,594.4079848,609.0695008,595.1095787,"Ontime","Shortdelay",613.7627107
"58","s15",627.9650952,607.415839,592.9649895,610.8319264,608.0653561,"Ontime","Shortdelay",602.9367224
"59","s16",598.3260106,597.3295351,597.1760989,602.2205861,593.0005102,"Ontime","Shortdelay",605.2131978
"60","s17",599.6118641,585.0249412,583.3053028,583.6406215,594.9874504,"Ontime","Shortdelay",568.8759991
"61","s18",624.3238894,576.6672627,588.5542553,612.8864514,580.1438201,"Ontime","Shortdelay",588.9704325
"62","s19",614.8591161,594.414469,598.1702808,603.1259931,601.8365841,"Ontime","Shortdelay",583.9039258
"63","s21",603.0064228,596.3543368,598.5640146,595.9813566,602.6351595,"Ontime","Shortdelay",593.7134305
"64","s22",613.1263837,597.0841033,598.9658045,604.2568946,601.8606331,"Ontime","Shortdelay",594.5215785
"65","s23",609.498973,587.8235842,594.0441577,604.7893864,589.4550902,"Ontime","Shortdelay",585.3534419
"66","s25",657.3808077,613.8153789,612.9346391,645.1328973,610.9543198,"Ontime","Shortdelay",624.0144466
"67","s26",614.5345949,599.4998695,598.3687336,604.8622696,603.406529,"Ontime","Shortdelay",600.3314022
"68","s27",612.3135398,604.223877,588.9469839,605.4341659,598.2221013,"Ontime","Shortdelay",616.0113293
"69","s28",592.2462211,586.4695817,582.9218437,590.6399494,583.7851483,"Ontime","Shortdelay",579.4438166
"70","s29",609.1270033,600.6160393,598.0813392,602.5957647,602.6204898,"Ontime","Shortdelay",598.4047241
"71","s30",603.4840123,594.9175677,592.8117337,598.7213608,595.4208482,"Ontime","Shortdelay",594.0235688
"72","s31",611.795005,600.4672233,598.131451,607.4057606,599.5233588,"Ontime","Shortdelay",603.7017367
"73","s32",614.0310874,607.4956939,601.86755,607.0914312,608.5047896,"Ontime","Shortdelay",606.2121323
"74","s34",611.0214827,607.3665226,607.7832697,617.8705463,599.5769703,"Ontime","Shortdelay",617.1464591
"75","s36",611.8909568,600.5960024,599.8248429,603.1776505,605.0302175,"Ontime","Shortdelay",597.5107125
"76","s37",599.2706559,597.8710928,600.7309091,601.6965634,596.8852084,"Ontime","Shortdelay",598.3869518
"77","s39",606.306412,587.211265,595.7203,598.2260302,594.5992877,"Ontime","Shortdelay",591.3927019
"78","s40",613.9031198,592.882339,586.3418688,591.2523043,604.165914,"Ontime","Shortdelay",584.7590784
"79","s41",622.8376902,604.6814653,597.7697426,608.3369635,608.5223019,"Ontime","Shortdelay",604.822283
"80","s47",592.9647046,597.2240891,595.8333961,594.4158018,596.2656579,"Ontime","Shortdelay",594.60208
"81","s48",672.736284,611.8022475,620.4548022,650.6105403,619.3850155,"Ontime","Shortdelay",610.7546256
"82","s49",641.6865647,601.1734506,595.7961816,614.4994296,611.2713683,"Ontime","Shortdelay",595.9750187
"83","s50",643.9700036,628.916054,602.7149687,631.9875245,618.4131597,"Ontime","Shortdelay",634.0640433
"84","s51",604.8797088,600.8950367,591.024398,599.5603937,598.305702,"Ontime","Shortdelay",602.777131
"85","s52",625.2802226,596.2766866,596.7589907,604.4853899,607.72521,"Ontime","Shortdelay",590.4166022
"86","s53",618.2051485,611.2701479,619.8086946,614.5218928,618.3341011,"Ontime","Shortdelay",610.8074689
"87","s54",624.3832767,604.6252917,599.4895829,610.8502894,608.148478,"Ontime","Shortdelay",600.1273265
"88","s55",610.6586387,598.5707915,594.5074378,597.975495,604.5157503,"Ontime","Shortdelay",593.810041
"89","s56",667.843853,628.6609983,640.3428979,641.1628646,650.0689681,"Ontime","Shortdelay",639.9421772
"90","s57",631.8606054,614.653906,609.8504996,621.845654,615.73102,"Ontime","Shortdelay",612.0289513
"91","s58",598.8668281,597.2022159,581.5236747,586.2581248,598.8036877,"Ontime","Shortdelay",593.1834494
"92","s59",616.3798771,587.7394278,589.199058,600.550318,594.9952571,"Ontime","Shortdelay",582.962708
"93","s60",604.1475463,596.8313598,596.9400229,600.8160665,597.7965528,"Ontime","Shortdelay",598.3664141
"94","s61",617.7683317,612.9429713,606.3948149,613.3541806,611.3832313,"Ontime","Shortdelay",613.1021945
"95","s62",607.5822853,601.3896817,600.2183944,603.958886,602.1680216,"Ontime","Shortdelay",605.5564944
"96","s63",634.2701698,575.8879815,595.9604725,595.7110786,608.3680039,"Ontime","Shortdelay",554.2146077
"97","s03",726.0195522,586.3135541,488.5709072,634.4637784,566.1388973,"Late","Shortdelay",493.8084811
"98","s04",614.8194897,609.0143341,612.9122354,610.6894879,613.8078849,"Late","Shortdelay",601.7350203
"99","s06",636.4195229,598.6994006,598.6469079,608.4595887,614.0509655,"Late","Shortdelay",582.6630238
"100","s07",608.3454036,599.5442597,599.6927804,612.0136569,593.0413056,"Late","Shortdelay",607.7187687
"101","s08",635.1726016,598.2457685,587.5706164,615.4556332,598.5370244,"Late","Shortdelay",583.3726048
"102","s10",669.7270664,607.1666261,601.1120961,646.048074,605.955785,"Late","Shortdelay",601.5793235
"103","s12",624.0090297,610.703615,619.4981752,617.3310638,618.8094827,"Late","Shortdelay",614.3512693
"104","s13",634.9084346,599.6647423,586.447923,610.6285658,603.3855007,"Late","Shortdelay",566.9899604
"105","s14",605.8422128,606.0184216,594.4079848,609.0695008,595.1095787,"Late","Shortdelay",601.5396899
"106","s15",627.9650952,607.415839,592.9649895,610.8319264,608.0653561,"Late","Shortdelay",589.0116698
"107","s16",598.3260106,597.3295351,597.1760989,602.2205861,593.0005102,"Late","Shortdelay",599.0211087
"108","s17",599.6118641,585.0249412,583.3053028,583.6406215,594.9874504,"Late","Shortdelay",578.6759741
"109","s18",624.3238894,576.6672627,588.5542553,612.8864514,580.1438201,"Late","Shortdelay",591.3555884
"110","s19",614.8591161,594.414469,598.1702808,603.1259931,601.8365841,"Late","Shortdelay",596.2375053
"111","s21",603.0064228,596.3543368,598.5640146,595.9813566,602.6351595,"Late","Shortdelay",590.669694
"112","s22",613.1263837,597.0841033,598.9658045,604.2568946,601.8606331,"Late","Shortdelay",602.1775544
"113","s23",609.498973,587.8235842,594.0441577,604.7893864,589.4550902,"Late","Shortdelay",586.6646911
"114","s25",657.3808077,613.8153789,612.9346391,645.1328973,610.9543198,"Late","Shortdelay",612.7810315
"115","s26",614.5345949,599.4998695,598.3687336,604.8622696,603.406529,"Late","Shortdelay",596.0759187
"116","s27",612.3135398,604.223877,588.9469839,605.4341659,598.2221013,"Late","Shortdelay",577.8939678
"117","s28",592.2462211,586.4695817,582.9218437,590.6399494,583.7851483,"Late","Shortdelay",580.067783
"118","s29",609.1270033,600.6160393,598.0813392,602.5957647,602.6204898,"Late","Shortdelay",596.2767368
"119","s30",603.4840123,594.9175677,592.8117337,598.7213608,595.4208482,"Late","Shortdelay",591.3423866
"120","s31",611.795005,600.4672233,598.131451,607.4057606,599.5233588,"Late","Shortdelay",599.5591977
"121","s32",614.0310874,607.4956939,601.86755,607.0914312,608.5047896,"Late","Shortdelay",597.6395892
"122","s34",611.0214827,607.3665226,607.7832697,617.8705463,599.5769703,"Late","Shortdelay",617.1464591
"123","s36",611.8909568,600.5960024,599.8248429,603.1776505,605.0302175,"Late","Shortdelay",596.4716975
"124","s37",599.2706559,597.8710928,600.7309091,601.6965634,596.8852084,"Late","Shortdelay",601.4618182
"125","s39",606.306412,587.211265,595.7203,598.2260302,594.5992877,"Late","Shortdelay",600
"126","s40",613.9031198,592.882339,586.3418688,591.2523043,604.165914,"Late","Shortdelay",565.9481819
"127","s41",622.8376902,604.6814653,597.7697426,608.3369635,608.5223019,"Late","Shortdelay",583.1059597
"128","s47",592.9647046,597.2240891,595.8333961,594.4158018,596.2656579,"Late","Shortdelay",591.6667921
"129","s48",672.736284,611.8022475,620.4548022,650.6105403,619.3850155,"Late","Shortdelay",601.6161518
"130","s49",641.6865647,601.1734506,595.7961816,614.4994296,611.2713683,"Late","Shortdelay",576.924396
"131","s50",643.9700036,628.916054,602.7149687,631.9875245,618.4131597,"Late","Shortdelay",597.886604
"132","s51",604.8797088,600.8950367,591.024398,599.5603937,598.305702,"Late","Shortdelay",586.1446325
"133","s52",625.2802226,596.2766866,596.7589907,604.4853899,607.72521,"Late","Shortdelay",590.7183732
"134","s53",618.2051485,611.2701479,619.8086946,614.5218928,618.3341011,"Late","Shortdelay",607.5033639
"135","s54",624.3832767,604.6252917,599.4895829,610.8502894,608.148478,"Late","Shortdelay",591.9901964
"136","s55",610.6586387,598.5707915,594.5074378,597.975495,604.5157503,"Late","Shortdelay",584.3812132
"137","s56",667.843853,628.6609983,640.3428979,641.1628646,650.0689681,"Late","Shortdelay",643.8052138
"138","s57",631.8606054,614.653906,609.8504996,621.845654,615.73102,"Late","Shortdelay",606.0908091
"139","s58",598.8668281,597.2022159,581.5236747,586.2581248,598.8036877,"Late","Shortdelay",563.3645751
"140","s59",616.3798771,587.7394278,589.199058,600.550318,594.9952571,"Late","Shortdelay",583.4765919
"141","s60",604.1475463,596.8313598,596.9400229,600.8160665,597.7965528,"Late","Shortdelay",590.5971524
"142","s61",617.7683317,612.9429713,606.3948149,613.3541806,611.3832313,"Late","Shortdelay",605.6049805
"143","s62",607.5822853,601.3896817,600.2183944,603.958886,602.1680216,"Late","Shortdelay",595.787782
"144","s63",634.2701698,575.8879815,595.9604725,595.7110786,608.3680039,"Late","Shortdelay",598.3080844
