type,choices,layout,name,required,key_mapping,target,instruction,feedback,locations
choice,"[""Wired Headphones"",""Wired Earbuds"",""Wireless Headphones"",""Wireless Earbuds"",""Built in Laptop/Desktop Speaker (Please use headphones if possible!)"",""External Ambient Speaker (Please use headphones if possible!)"",""Mobile Phone Speaker (Please complete on computer and use headphones if possible)"",""Other""]","[4,2]",survey_headphone,,,,,,
choice,"[1,2,3,4,5]",,survey_noise,,,,,,
choice,"[""Female"",""Male"",""Other""]",,basic_response1,,,,,,
text,,,basic_response2,true,,,,,
text,,,music_response1,true,,,,,
text,,,music_response2,true,,,,,
text,,,music_response3,true,,,,,
choice,"[""Shorter"",""Longer""]",,testresponse_s_F,,"[""F"",""J""]",Shorter,Is the last tone shorter or longer?,,
choice,"[""Shorter"",""Longer""]",,testresponse_l_J,,"[""F"",""J""]",Longer,Is the last tone shorter or longer?,,
choice,"[""Shorter"",""Longer""]",,practiceresponse_l_J,,"[""F"",""J""]",Longer,Is the last tone shorter or longer?,true,
choice,"[""Shorter"",""Longer""]",,practiceresponse_s_F,,"[""F"",""J""]",Shorter,Is the last tone shorter or longer?,true,
choice,"[""Shorter"",""Longer""]",,exampleresponse_s_F,,"[""F"",""J""]",Shorter,"The answer is shorter. If you press the [shorter] button, which is correct, you should hear a ding sound. If you press [longer] button, which is incorrect, you will hear a buzz sound. You can press either key to make a response.",true,
choice,"[""Shorter"",""Longer""]",,exampleresponse_l_J,,"[""F"",""J""]",Longer,"The answer is longer. If you press the [longer] button, which is correct, you should hear a ding sound. If you press [shorter] button, which is incorrect, you will hear a buzz sound. You can press either key to make a response.",true,
choice,"[""Longer"",""Shorter""]",,exampleresponse_l_F,,"[""F"",""J""]",Longer,"The answer is longer. If you press the [longer] button, which is correct, you should hear a ding sound. If you press [shorter] button, which is incorrect, you will hear a buzz sound. You can press either key to make a response.",true,
choice,"[""Longer"",""Shorter""]",,exampleresponse_s_J,,"[""F"",""J""]",Shorter,"The answer is shorter. If you press the [shorter] button, which is correct, you should hear a ding sound. If you press [longer] button, which is incorrect, you will hear a buzz sound. You can press either key to make a response.",true,
choice,"[""Longer"",""Shorter""]",,practiceresponse_s_J,,"[""F"",""J""]",Shorter,Is the last tone shorter or longer?,true,
choice,"[""Longer"",""Shorter""]",,practiceresponse_l_F,,"[""F"",""J""]",Longer,Is the last tone shorter or longer?,true,
choice,"[""Longer"",""Shorter""]",,testresponse_l_F,,"[""F"",""J""]",Longer,Is the last tone shorter or longer?,,
choice,"[""Longer"",""Shorter""]",,testresponse_s_J,,"[""F"",""J""]",Shorter,Is the last tone shorter or longer?,,
choice,"[""Longer"",""Shorter""]",,pretestresponse_l_F,,"[""F"",""J""]",Longer,Is this tone shorter or longer?,false,
choice,"[""Longer"",""Shorter""]",,pretestresponse_s_J,,"[""F"",""J""]",Longer,Is this tone shorter or longer?,false,
choice,"[""Shorter"",""Longer""]",,pretestresponse_s_F,,"[""F"",""J""]",Longer,Is this tone shorter or longer?,false,
choice,"[""Shorter"",""Longer""]",,pretestresponse_l_J,,"[""F"",""J""]",Longer,Is this tone shorter or longer?,false,
choice,"[""1"",""7""]",,number,,"[""F"",""J""]",7,,,
choice,"[""Beat"",""Drum""]",,beat_drum,,"[""F"",""J""]",Beat,The word spoken was:,,random
choice,"[""Cost"",""Bag""]",,cost_bag,,"[""F"",""J""]",Bag,The word spoken was:,,random
text,,,basic_response3,true,,,,,