subj,Onset,Lowerbound
s01,Early,7.35E-05
s02,Early,-0.000419728
s03,Early,-0.000591815
s04,Early,0.180298325
s05,Early,0.164548453
s06,Early,0.092918154
s07,Early,-0.335776111
s08,Early,0.166688057
s09,Early,0.165598603
s10,Early,0.289486776
s11,Early,0.086813657
s12,Early,0.04148966
s13,Early,0.158112201
s14,Early,0.111123354
s15,Early,0.114912175
s16,Early,0.082963295
s17,Early,0.499772577
s18,Early,0.067629976
s19,Early,-0.004070377
s20,Early,5.74E-05
s21,Early,-0.000255588
s22,Early,-0.000194617
s23,Early,0.041695763
s24,Early,0.347052229
s25,Early,-0.003421325
s26,Early,0.085379878
s27,Early,0.149851106
s01,Ontime,0.083492502
s02,Ontime,-0.018365137
s03,Ontime,-0.000692877
s04,Ontime,0.208228731
s05,Ontime,0.208438123
s06,Ontime,0.333279695
s07,Ontime,0.293059743
s08,Ontime,0.027222696
s09,Ontime,0.031102802
s10,Ontime,0.638920755
s11,Ontime,0.041695763
s12,Ontime,0.16664861
s13,Ontime,0.194686195
s14,Ontime,0.119144513
s15,Ontime,0.250022643
s16,Ontime,0.166584938
s17,Ontime,0.52776528
s18,Ontime,-0.00115717
s19,Ontime,-0.007071422
s20,Ontime,-0.000294831
s21,Ontime,-0.000124438
s22,Ontime,0.007384824
s23,Ontime,-0.001286913
s24,Ontime,0.388877189
s25,Ontime,0.069853652
s26,Ontime,-0.003859015
s27,Ontime,0.29064673
s01,Late,0.166639868
s02,Late,0.179608081
s03,Late,0.02776656
s04,Late,0.248897925
s05,Late,0.089027163
s06,Late,0.291589829
s07,Late,0.168095355
s08,Late,0.069446771
s09,Late,0.527702065
s10,Late,0.527874241
s11,Late,0.082947699
s12,Late,0.166519882
s13,Late,0.2449914
s14,Late,0.082963295
s15,Late,0.25003329
s16,Late,0.159706929
s17,Late,0.407109113
s18,Late,0.02768589
s19,Late,-0.001748247
s20,Late,-0.00834466
s21,Late,-0.013333561
s22,Late,-0.001128013
s23,Late,0.040635139
s24,Late,0.333627312
s25,Late,0.041691054
s26,Late,0.076189722
s27,Late,0.408401203