subj,Onset,Slope
s01,Early,26.59564942
s02,Early,4.946076312
s03,Early,42.94642834
s04,Early,5.677671016
s05,Early,7.870341811
s06,Early,4.31253717
s07,Early,1.151661147
s08,Early,15.22014054
s09,Early,6.23630796
s10,Early,7.547734241
s11,Early,10.58584773
s12,Early,38.28560682
s13,Early,11.9984417
s14,Early,39.61086404
s15,Early,7.415746739
s16,Early,19.88326037
s17,Early,22.66459875
s18,Early,5.659768103
s19,Early,19.44180422
s20,Early,45.06868325
s21,Early,22.65990522
s22,Early,20.24082098
s23,Early,25.64811466
s24,Early,7.190335685
s25,Early,10.61454052
s26,Early,8.976195726
s27,Early,5.001411141
s01,Ontime,25.39823241
s02,Ontime,5.38238219
s03,Ontime,30.23532563
s04,Ontime,20.32963214
s05,Ontime,14.60386455
s06,Ontime,25.86014728
s07,Ontime,6.366320464
s08,Ontime,3.133808811
s09,Ontime,2.182965621
s10,Ontime,40.25003862
s11,Ontime,25.64811466
s12,Ontime,38.07176769
s13,Ontime,9.679369364
s14,Ontime,10.11414769
s15,Ontime,24.40104494
s16,Ontime,21.98873593
s17,Ontime,48.60150627
s18,Ontime,13.6336351
s19,Ontime,15.81732145
s20,Ontime,16.82866404
s21,Ontime,21.22560803
s22,Ontime,6.370881696
s23,Ontime,12.03043756
s24,Ontime,40.57993094
s25,Ontime,7.215936152
s26,Ontime,6.809931559
s27,Ontime,12.14342152
s01,Late,43.98829039
s02,Late,9.318843454
s03,Late,69.8098586
s04,Late,11.45017048
s05,Late,8.065630495
s06,Late,20.42960146
s07,Late,6.875156479
s08,Late,4.810435339
s09,Late,48.76496254
s10,Late,3.224099881
s11,Late,13.13530133
s12,Late,25.87601685
s13,Late,7.860229298
s14,Late,19.88326037
s15,Late,33.57885206
s16,Late,7.658955619
s17,Late,7.399774456
s18,Late,70.60640655
s19,Late,24.5076788
s20,Late,9.903780042
s21,Late,8.770000538
s22,Late,4.914971821
s23,Late,15.32443427
s24,Late,7.052907029
s25,Late,37.08586167
s26,Late,9.098960173
s27,Late,8.088683943