,branch_failpass,expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,session_start_time,stimuli_presented,trial_duration,trial_num,trial_template,task,sub_id,exp
0,pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,4c685da32c0562c7f3203118347ebe68afd88aa9613a0cf489f21535e520580c,2422.6003191471104,False,click,tone_or_word,6773,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,6777,423,Tone_word_debrief,Tone,4c685,EXP8c
1,pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,4c685da32c0562c7f3203118347ebe68afd88aa9613a0cf489f21535e520580c,2422.6003191471104,,keypress,TxRsp,39953,,text-response,"I did not hear the words lab or lap in those sounds. I did, however, feel the tones as long and short.",636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,39958,424,Tone_word_debrief,Tone,4c685,EXP8c
2,fail,6345b7f49677d36bd07c5a10,EXP8c_JF,0,e1f714c783707d4ffe69f2b25db4fb4bb582b5c1ef8590c78a853e5b219d16a9,2277.8469169139858,False,click,tone_or_word,20225,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,20228,435,Tone_word_debrief,Tone,e1f71,EXP8c
3,fail,6345b7f49677d36bd07c5a10,EXP8c_JF,0,e1f714c783707d4ffe69f2b25db4fb4bb582b5c1ef8590c78a853e5b219d16a9,2277.8469169139858,,keypress,TxRsp,39111,,text-response,"The sounds just sounded like tones to me, there was no meaning behind them in my mind.",636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,39114,436,Tone_word_debrief,Tone,e1f71,EXP8c
4,fail,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,37e15519097abf5252308b8b30ee8dfe6087b51322d97d38bbbb272809532f44,2400.63973402977,False,click,tone_or_word,10155,[],choice-response,Lab or Lap,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,10159,435,Tone_word_debrief,Tone,37e15,EXP8c
5,fail,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,37e15519097abf5252308b8b30ee8dfe6087b51322d97d38bbbb272809532f44,2400.63973402977,,keypress,TxRsp,21349,,text-response,Feel the sound as being lab or lap,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,21353,436,Tone_word_debrief,Tone,37e15,EXP8c
6,pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,8167ced290d92f11fda04d3bb0c11169a41303326ef04ea0c08c5cd3a9d8dd9a,1673.3434219360352,False,click,tone_or_word,6800,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,6803,423,Tone_word_debrief,Tone,8167c,EXP8c
7,pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,8167ced290d92f11fda04d3bb0c11169a41303326ef04ea0c08c5cd3a9d8dd9a,1673.3434219360352,,keypress,TxRsp,26588,,text-response,I honestly did not hear a single word and it sounded like tone. Maybe lab and lap were used because of their length of the words in English language,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,26597,424,Tone_word_debrief,Tone,8167c,EXP8c
8,fail,6345b7f49677d36bd07c5a10,EXP8c_JF,0,cbdda6913e3c5fc5ab370f5570992ca18e574f3c15b44b215b7a86c493a07c13,2306.8749539852147,False,click,tone_or_word,14700,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,14703,435,Tone_word_debrief,Tone,cbdda,EXP8c
9,fail,6345b7f49677d36bd07c5a10,EXP8c_JF,0,cbdda6913e3c5fc5ab370f5570992ca18e574f3c15b44b215b7a86c493a07c13,2306.8749539852147,,keypress,TxRsp,17638,,text-response,"They didn't feel like anything, just sounds.",636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,17641,436,Tone_word_debrief,Tone,cbdda,EXP8c
10,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,3a8b4685933f50bf0b910c7f3f9debf8eae8837294f77a6cc7bc2c53910ba476,2399.9184448719025,False,click,tone_or_word,46183,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,46185,423,Tone_word_debrief,Tone,3a8b4,EXP8c
11,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,3a8b4685933f50bf0b910c7f3f9debf8eae8837294f77a6cc7bc2c53910ba476,2399.9184448719025,,keypress,TxRsp,48635,,text-response,"English has very harsh ""p"" sounds and I found it difficult to hear that but it did seem more like an abrupt stop which made it feel more musical than word like.",636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,48718,424,Tone_word_debrief,Tone,3a8b4,EXP8c
12,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,83580f8a886e834911f97058709a23a6ae5fc38fd5de045c2211491d55303283,3363.250174999237,False,click,tone_or_word,11492,[],choice-response,Lab or Lap,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,11495,423,Tone_word_debrief,Tone,83580,EXP8c
13,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,83580f8a886e834911f97058709a23a6ae5fc38fd5de045c2211491d55303283,3363.250174999237,,keypress,TxRsp,29637,,text-response,I did not feel the sound I just thought if the sound was shorter than it was left key and vise versa,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,29641,424,Tone_word_debrief,Tone,83580,EXP8c
14,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,499df02321f2cc432836f758c23e2569da890be9bc590c179d64608a2bf7392e,1845.6144988536842,False,click,tone_or_word,5294,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,5297,423,Tone_word_debrief,Tone,499df,EXP8c
15,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,499df02321f2cc432836f758c23e2569da890be9bc590c179d64608a2bf7392e,1845.6144988536842,,keypress,TxRsp,23007,,text-response,"Musical tones 
Lab = the last sound was cut short
Lap = the last sound was smoother and longer",636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,23009,424,Tone_word_debrief,Tone,499df,EXP8c
16,pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,97d8a73ec6fa1777658307bb0ca59d611d5932eee624965ac317e4607b94807a,2234.3007390499115,False,click,tone_or_word,53365,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,53368,423,Tone_word_debrief,Tone,97d8a,EXP8c
17,pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,97d8a73ec6fa1777658307bb0ca59d611d5932eee624965ac317e4607b94807a,2234.3007390499115,,keypress,TxRsp,86072,,text-response,"I felt that the sound produced was more characteristic of a musical tone rather than being similar to the words ""lab"" or ""lap"" because I could not deduce the ending of the tones with ""b"" or ""p"", but rather how long the note was and how abrupt it ended",636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,86075,424,Tone_word_debrief,Tone,97d8a,EXP8c
18,pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,779faeb88f323f6f9ba4255060311b69993e3715d07a28992c8c7a7867a8274f,2364.948704004288,False,click,tone_or_word,8514,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,8515,423,Tone_word_debrief,Tone,779fa,EXP8c
19,pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,779faeb88f323f6f9ba4255060311b69993e3715d07a28992c8c7a7867a8274f,2364.948704004288,,keypress,TxRsp,50881,,text-response,to be honest they sounded just like some harmonics. It got difficult to think about the word rather than just the sound it was making,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,50884,424,Tone_word_debrief,Tone,779fa,EXP8c
20,pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,dae9aceb0e98d540c140664a8feee52ddf1d97a2bdade3dae6203ed17ef97043,2279.9944670200352,False,click,tone_or_word,9834,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,9837,423,Tone_word_debrief,Tone,dae9a,EXP8c
21,pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,dae9aceb0e98d540c140664a8feee52ddf1d97a2bdade3dae6203ed17ef97043,2279.9944670200352,,keypress,TxRsp,35764,,text-response,"I did not feel like the musical tones sounded anything like the words ""lap"" or ""lab.""",636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,35766,424,Tone_word_debrief,Tone,dae9a,EXP8c
22,pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,f6891cba3990f2bd2240fb7c655cd3ef76a8cc16190db1353b48d927b42ad7d6,2772.2966780662537,False,click,tone_or_word,17092,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,17097,423,Tone_word_debrief,Tone,f6891,EXP8c
23,pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,f6891cba3990f2bd2240fb7c655cd3ef76a8cc16190db1353b48d927b42ad7d6,2772.2966780662537,,keypress,TxRsp,37232,,text-response,I heard musical sounds because they sounded almost the same and could not tell the difference 90% of the time,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,37240,424,Tone_word_debrief,Tone,f6891,EXP8c
24,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,d88d8a68094ae74edd65606a5b22d26a5e38821c8d44da55848ecdf17f2e3159,2811.729108095169,False,click,tone_or_word,22497,[],choice-response,Lab or Lap,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,22500,423,Tone_word_debrief,Tone,d88d8,EXP8c
25,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,d88d8a68094ae74edd65606a5b22d26a5e38821c8d44da55848ecdf17f2e3159,2811.729108095169,,keypress,TxRsp,218644,,text-response,"For me it was a little mix of both but I went with lab and lap because I was able to hear them. In the priming section I couldn't hear the words at all but as I went and noticed a patterned I could hear the words in my head or at least structures of the word I would expect to hear when saying them. Did I hear ""lab"" or ""lap"" no but I could hear the structure of the word.",636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,218650,424,Tone_word_debrief,Tone,d88d8,EXP8c
26,pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,1c0b6a5fa63175eb2f024083aea98426a17e77c2448ce443c2b2207c0bcbbbfb,2218.799772977829,False,click,tone_or_word,9072,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,9079,423,Tone_word_debrief,Tone,1c0b6,EXP8c
27,pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,1c0b6a5fa63175eb2f024083aea98426a17e77c2448ce443c2b2207c0bcbbbfb,2218.799772977829,,keypress,TxRsp,34296,,text-response,"perceive the sound as musical tones, did not associate it with word",636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,34301,424,Tone_word_debrief,Tone,1c0b6,EXP8c
28,fail,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,29762cf30a2a36f23c2c7b89c33303a0bea9b00473249f7611166defe9c381e8,1986.7972099781039,False,click,tone_or_word,8579,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,8583,435,Tone_word_debrief,Tone,29762,EXP8c
29,fail,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,29762cf30a2a36f23c2c7b89c33303a0bea9b00473249f7611166defe9c381e8,1986.7972099781039,,keypress,TxRsp,46272,,text-response,"I could hear only musical tones. I tried to use the words when listening to the sound, but it didn't change how I heard it.",636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,46277,436,Tone_word_debrief,Tone,29762,EXP8c
30,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,fdc6c34d775e742c9ca9c48f294a5ce2f067208df89b0d55a61c685286f915f2,2186.8200199604034,False,click,tone_or_word,16432,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,16440,423,Tone_word_debrief,Tone,fdc6c,EXP8c
31,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,fdc6c34d775e742c9ca9c48f294a5ce2f067208df89b0d55a61c685286f915f2,2186.8200199604034,,keypress,TxRsp,49441,,text-response,I heard the difference in the pitches of the tones. The lap was very abrupt and strong while the Lab was longer and smoother in a way.,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,49451,424,Tone_word_debrief,Tone,fdc6c,EXP8c
32,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,740035a65e1c8cd732a9c3082ec28ec91760235f5bbe554b7a1b2de3587b6c73,2122.4008150100713,False,click,tone_or_word,10397,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,10400,423,Tone_word_debrief,Tone,74003,EXP8c
33,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,740035a65e1c8cd732a9c3082ec28ec91760235f5bbe554b7a1b2de3587b6c73,2122.4008150100713,,keypress,TxRsp,8991,,text-response,I counted the time?,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,9093,424,Tone_word_debrief,Tone,74003,EXP8c
34,fail,6345b7f49677d36bd07c5a10,EXP8c_JF,0,55175ebec5cdfeb101e9864d17cf2f9518f7cd37b1d5847e01c4d61aa7729c62,1802.6070160865784,False,click,tone_or_word,4228,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,4231,435,Tone_word_debrief,Tone,55175,EXP8c
35,fail,6345b7f49677d36bd07c5a10,EXP8c_JF,0,55175ebec5cdfeb101e9864d17cf2f9518f7cd37b1d5847e01c4d61aa7729c62,1802.6070160865784,,keypress,TxRsp,8575,,text-response,Different timbres,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,8577,436,Tone_word_debrief,Tone,55175,EXP8c
36,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,1695b9e78c265b76270d2041b4072bf3c48bde5b7e5a3ea2fd71d5ca549bdcbd,2870.1440460681915,False,click,tone_or_word,13487,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,13493,423,Tone_word_debrief,Tone,1695b,EXP8c
37,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,1695b9e78c265b76270d2041b4072bf3c48bde5b7e5a3ea2fd71d5ca549bdcbd,2870.1440460681915,,keypress,TxRsp,72119,,text-response,Hearing the dings and then having to choose what word I heard made it feel like I was hearing more musical tones because the dings were happening in a rhythm.,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,72126,424,Tone_word_debrief,Tone,1695b,EXP8c
38,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,d8ba9ec3df48afaa5c09730466e0c075bbc75250ebe1186dd84acb7acf7225b6,5259.391983985901,False,click,tone_or_word,24791,[],choice-response,Lab or Lap,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,24796,423,Tone_word_debrief,Tone,d8ba9,EXP8c
39,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,d8ba9ec3df48afaa5c09730466e0c075bbc75250ebe1186dd84acb7acf7225b6,5259.391983985901,,keypress,TxRsp,130161,,text-response,I heard both lap and lab even when it started just feeling like noises. Each time I would answer I would get a feeling after hitting the button of either feeling okay with it or regretting it because I felt it was the other one. I still was hearing the words but I also wasn't.,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,130163,424,Tone_word_debrief,Tone,d8ba9,EXP8c
40,pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,ae3962fc4617f2dd3e13e81b09ead1567e154f4899d9cfe0fbd90e5a559e6c61,2743.999155044556,False,click,tone_or_word,17355,[],choice-response,Lab or Lap,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,17357,423,Tone_word_debrief,Tone,ae396,EXP8c
41,pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,ae3962fc4617f2dd3e13e81b09ead1567e154f4899d9cfe0fbd90e5a559e6c61,2743.999155044556,,keypress,TxRsp,139318,,text-response,"I didn't really perceive the sound as musical tones because I was told to think in context of lab or lap. I also feel like I was listening more for what I perceived as a ""hold"" in the lab sound that I didn't perceive in the lap sound, a result of me thinking about someone saying lab and lap.",636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,139319,424,Tone_word_debrief,Tone,ae396,EXP8c
42,fail,6345b7f49677d36bd07c5a10,EXP8c_JF,0,9ca859fc3b8f17bff91497b554e64af13e9ee123a2819b5099d74d990ef9f752,1792.955758810043,False,click,tone_or_word,9504,[],choice-response,Lab or Lap,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,9506,435,Tone_word_debrief,Tone,9ca85,EXP8c
43,fail,6345b7f49677d36bd07c5a10,EXP8c_JF,0,9ca859fc3b8f17bff91497b554e64af13e9ee123a2819b5099d74d990ef9f752,1792.955758810043,,keypress,TxRsp,11659,,text-response,I could hear the sound at the end,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,11661,436,Tone_word_debrief,Tone,9ca85,EXP8c
44,fail,6345b7f49677d36bd07c5a10,EXP8c_JF,0,70337e053d6280ba5f298a7ce56e89b1150ee9db13fe56b8cc0dac046ffe6885,3496.01327419281,False,click,tone_or_word,11361,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,11365,435,Tone_word_debrief,Tone,70337,EXP8c
45,fail,6345b7f49677d36bd07c5a10,EXP8c_JF,0,70337e053d6280ba5f298a7ce56e89b1150ee9db13fe56b8cc0dac046ffe6885,3496.01327419281,,keypress,TxRsp,94454,,text-response,"It was difficult for me to decipher words from the played sound. Instead of sounding like words, the noise in the experiment was more like a melody. The longer melody to me meant the word was ""lab"" while the shorter sounding melody meant the word was ""lap"".",636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,94457,436,Tone_word_debrief,Tone,70337,EXP8c
46,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,c871691bd604e6bac1b82f1b3d1136ad0e530ea0d1f58b20793b69fb921f780e,2658.9851770401,False,click,tone_or_word,10257,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,10259,423,Tone_word_debrief,Tone,c8716,EXP8c
47,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,c871691bd604e6bac1b82f1b3d1136ad0e530ea0d1f58b20793b69fb921f780e,2658.9851770401,,keypress,TxRsp,37582,,text-response,I chose as musical tone since they never felt as if lap or lab were being said.,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,37598,424,Tone_word_debrief,Tone,c8716,EXP8c
48,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,93732dc552366b93f9c8cb33a027ebf090fe6ce3a6e56c0573cf50f9fba7888d,2522.93197107315,False,click,tone_or_word,12963,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,12966,423,Tone_word_debrief,Tone,93732,EXP8c
49,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,93732dc552366b93f9c8cb33a027ebf090fe6ce3a6e56c0573cf50f9fba7888d,2522.93197107315,,keypress,TxRsp,53443,,text-response,The musical tone I would heard would help my brain associate lap with a harsher stop and lab with a more rounded ending.,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,53445,424,Tone_word_debrief,Tone,93732,EXP8c
50,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,b902b68c2506df1ee87431e747e6079ae032b7d23fc9657dec64336781af87f2,1802.500283956528,False,click,tone_or_word,11046,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,11049,423,Tone_word_debrief,Tone,b902b,EXP8c
51,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,b902b68c2506df1ee87431e747e6079ae032b7d23fc9657dec64336781af87f2,1802.500283956528,,keypress,TxRsp,38613,,text-response,"I didn't hear lab or lap so my brain listen to the length and lab seemed to be a longer tone, while lap was very quick",636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,38618,424,Tone_word_debrief,Tone,b902b,EXP8c
52,pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,0e2a554e8625e35ca934bd8c2a3853ea7e4c45fc9ee67fdb9daefbbebe2e8669,2840.900662899017,False,click,tone_or_word,9296,[],choice-response,Lab or Lap,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,9299,423,Tone_word_debrief,Tone,0e2a5,EXP8c
53,pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,0e2a554e8625e35ca934bd8c2a3853ea7e4c45fc9ee67fdb9daefbbebe2e8669,2840.900662899017,,keypress,TxRsp,92338,,text-response,"Like I mentioned before, 'lab' had a longer beep whereas 'lap' had a shorter beep, and I associated the varying length with how someone would say the different words respectively.",636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,92341,424,Tone_word_debrief,Tone,0e2a5,EXP8c
54,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,75a23d8525dc843ad29fe16c7474f6bdbd18f1bd25f8f5dc51bf477cf3a80300,1989.778632879257,False,click,tone_or_word,10730,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,10732,423,Tone_word_debrief,Tone,75a23,EXP8c
55,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,75a23d8525dc843ad29fe16c7474f6bdbd18f1bd25f8f5dc51bf477cf3a80300,1989.778632879257,,keypress,TxRsp,47760,,text-response,"I never heard any enunciation of the actual words, so they sounded a lot more to me like different musical tones (which in part related to the way Lap and Lab sound when said out loud)",636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,47763,424,Tone_word_debrief,Tone,75a23,EXP8c
56,pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,d9664d1924243e84490b1f9d8b6747aac071af5c20914af34c6003a97b857a51,3043.088893175125,False,click,tone_or_word,5673,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,5676,423,Tone_word_debrief,Tone,d9664,EXP8c
57,pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,d9664d1924243e84490b1f9d8b6747aac071af5c20914af34c6003a97b857a51,3043.088893175125,,keypress,TxRsp,16660,,text-response,I felt long sound was lab and short sound was lap,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,16664,424,Tone_word_debrief,Tone,d9664,EXP8c
58,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,07d1127d35accfd10fa77125c2ebfcf09ac2d859d29a61d528ebcf8ea60b0f20,2254.012971878052,False,click,tone_or_word,7566,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,7570,423,Tone_word_debrief,Tone,07d11,EXP8c
59,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,07d1127d35accfd10fa77125c2ebfcf09ac2d859d29a61d528ebcf8ea60b0f20,2254.012971878052,,keypress,TxRsp,21079,,text-response,It just sounded more like musical tones.,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,21084,424,Tone_word_debrief,Tone,07d11,EXP8c
60,fail,6345b7f49677d36bd07c5a10,EXP8c_JF,0,fa58eeb09beb5b6732a8cf0c443c87a3d19f581b47f2d7983228a42646882af3,2254.8002779483795,False,click,tone_or_word,17247,[],choice-response,Lab or Lap,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,17249,435,Tone_word_debrief,Tone,fa58e,EXP8c
61,fail,6345b7f49677d36bd07c5a10,EXP8c_JF,0,fa58eeb09beb5b6732a8cf0c443c87a3d19f581b47f2d7983228a42646882af3,2254.8002779483795,,keypress,TxRsp,68172,,text-response,"I couldn't really percieve the sound. I mostly just ""felt"" the sound as being lab although it sounded the same every time without knowing if I selected correctly or incorrectly.",636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,68219,436,Tone_word_debrief,Tone,fa58e,EXP8c
62,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,94aef9f1165943f8855355c5cd11702ad3b7a493a7d4cae2429fa47cb1373d64,1948.408194065094,False,click,tone_or_word,7846,[],choice-response,Lab or Lap,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,7850,423,Tone_word_debrief,Tone,94aef,EXP8c
63,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,94aef9f1165943f8855355c5cd11702ad3b7a493a7d4cae2429fa47cb1373d64,1948.408194065094,,keypress,TxRsp,40416,,text-response,I could infer from the length whether it was lap or lab,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,40422,424,Tone_word_debrief,Tone,94aef,EXP8c
64,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,cbea07ee944e05e13c351ed430b8d6dc4ef2c8fbc020eebc889eac7d4010d9b3,1916.5606899261481,False,click,tone_or_word,10258,[],choice-response,Lab or Lap,635300ef7f3ee915ba688e53,2022-10-21 16:28:31-04:00,debrief3,10263,423,Tone_word_debrief,Tone,cbea0,EXP8c
